GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"sex, ageGroup",,f,10-14,33,0.23,0.16,0.42,0.19,14,19,19,80,2,1,0.05,17,13,0.86,3,2,0.06,28,0,0.0,0,14,0.42,19,0,0.0,14,2,0.11,16,1,0.06
"sex, ageGroup",,f,15-19,8,0.25,0.23,0.25,0.25,2,6,6,18,0,1,0.16,5,2,1.0,2,1,0.16,5,0,0.0,0,3,0.37,5,0,0.0,4,1,0.25,3,0,0.0
"sex, ageGroup",,f,20-24,21,0.0,0.3,0.0,0.33,0,21,21,42,1,4,0.2,16,0,0.0,10,2,0.18,9,0,0.0,0,12,0.57,9,0,0.0,10,3,0.27,8,0,0.0
"sex, ageGroup",,f,25-29,45,0.3,0.25,0.2,0.26,9,36,36,99,3,3,0.08,32,7,0.7,7,3,0.07,35,0,0.0,1,24,0.55,19,1,0.5,25,6,0.31,13,1,0.03
"sex, ageGroup",,f,30-34,23,0.27,0.27,0.17,0.27,4,19,19,50,1,2,0.1,18,2,0.66,7,0,0.0,16,0,0.0,2,11,0.55,9,1,0.33,9,6,0.46,7,1,0.1
"sex, ageGroup",,f,35-39,18,0.37,0.24,0.27,0.24,5,13,13,41,0,2,0.12,14,2,1.0,8,2,0.2,8,0,0.0,3,5,0.41,7,3,0.5,2,4,0.25,12,0,0.0
"sex, ageGroup",,f,40-44,11,0.12,0.24,0.09,0.3,1,10,10,23,1,1,0.11,8,1,0.5,7,0,0.0,4,0,0.0,0,6,0.54,5,0,0.0,2,3,0.33,6,0,0.0
"sex, ageGroup",,f,45-49,6,0.2,0.08,0.66,0.11,4,2,2,16,1,0,0.0,1,4,0.8,1,0,0.0,5,0,0.0,0,0,0.0,6,0,0.0,0,2,0.33,4,0,0.0
"sex, ageGroup",,f,5-9,68,0.2,0.31,0.1,0.29,7,61,61,143,4,8,0.13,52,4,0.5,7,32,0.55,26,3,0.3,46,8,0.36,14,0,0.0,4,13,0.2,51,0,0.0
"sex, ageGroup",,f,50-54,25,0.12,0.26,0.12,0.29,3,22,22,53,3,1,0.05,18,3,0.5,10,0,0.0,15,0,0.0,0,14,0.56,11,0,0.0,9,7,0.43,9,0,0.0
